Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
70.93434596061707	54	69.246574	26.287546	163.0	38.0	69.24657534246575	26.287546310210217	5055	277521
72.22056317329407	55	71.64286	25.276773	154.0	41.0	71.64285714285714	25.276774045009162	5015	282536
73.7129111289978	56	75.58209	26.09749	193.0	41.0	75.58208955223881	26.097491875675246	5064	287600
75.11236524581909	57	108.0	53.176945	200.0	48.0	108.0	53.17694269175836	5076	292676
76.51764416694641	58	108.55319	46.5169	200.0	54.0	108.55319148936171	46.516896271683535	5102	297778
78.13708209991455	59	108.891304	43.855606	200.0	54.0	108.8913043478261	43.85560707836252	5009	302787
79.73014521598816	60	118.4186	51.095547	200.0	55.0	118.4186046511628	51.095547777709214	5092	307879
81.40945935249329	61	120.48837	52.662315	200.0	52.0	120.48837209302326	52.662317004036574	5181	313060
82.90695714950562	62	117.204544	54.036846	200.0	57.0	117.20454545454545	54.036847506398374	5157	318217
84.42421817779541	63	114.068184	47.086185	200.0	54.0	114.06818181818181	47.0861868025359	5019	323236
86.04966402053833	64	117.976746	54.447113	200.0	56.0	117.97674418604652	54.447110403217366	5073	328309
87.77038311958313	65	123.0	48.58816	200.0	63.0	123.0	48.5881623835428	5166	333475
89.17585110664368	66	124.85366	49.262146	200.0	57.0	124.85365853658537	49.262146441065305	5119	338594
90.414626121521	67	117.441864	49.42286	200.0	57.0	117.44186046511628	49.42285617826775	5050	343644
91.81176114082336	68	119.59524	49.339474	200.0	59.0	119.5952380952381	49.339474934864	5023	348667
93.24345231056213	69	130.20512	52.30099	200.0	61.0	130.2051282051282	52.30099253222024	5078	353745
94.72732901573181	70	142.55556	48.745056	200.0	64.0	142.55555555555554	48.745053563552275	5132	358877
96.36230301856995	71	115.75	51.997868	200.0	63.0	115.75	51.99786927452806	5093	363970
97.81966614723206	72	113.6	51.359905	200.0	57.0	113.6	51.35990654197105	5112	369082
99.2555501461029	73	130.92308	54.250786	200.0	59.0	130.92307692307693	54.25078735828709	5106	374188
100.60556697845459	74	117.093025	45.954384	200.0	59.0	117.09302325581395	45.954382817771034	5035	379223
102.11933016777039	75	147.02856	45.994095	200.0	59.0	147.02857142857144	45.99409012613047	5146	384369
103.52006721496582	76	126.375	50.87027	200.0	63.0	126.375	50.87027005039388	5055	389424
104.81001424789429	77	135.40541	52.24447	200.0	66.0	135.40540540540542	52.244466645817305	5010	394434
106.02446103096008	78	130.82051	52.924175	200.0	57.0	130.82051282051282	52.924170133809376	5102	399536
107.25288033485413	79	117.39535	52.66663	200.0	56.0	117.3953488372093	52.66663015472945	5048	404584
108.48258829116821	80	115.34091	42.757214	200.0	64.0	115.3409090909091	42.75721267268471	5075	409659
109.67179012298584	81	125.125	51.84264	200.0	62.0	125.125	51.84264050952652	5005	414664
111.16910409927368	82	116.906975	49.841988	200.0	59.0	116.90697674418605	49.8419893745566	5027	419691
112.52953910827637	83	132.23685	52.01793	200.0	62.0	132.23684210526315	52.01792920185072	5025	424716
113.97291111946106	84	129.175	53.911446	200.0	57.0	129.175	53.9114493869345	5167	429883
115.45132422447205	85	148.17647	48.85481	200.0	67.0	148.1764705882353	48.85480925705526	5038	434921
117.01138710975647	86	130.0	53.266144	200.0	66.0	130.0	53.26614357433858	5070	439991
118.62490606307983	87	148.85294	50.175064	200.0	61.0	148.85294117647058	50.17506549304978	5061	445052
119.972421169281	88	147.17143	53.30799	200.0	63.0	147.17142857142858	53.30799227898502	5151	450203
121.23711895942688	89	145.51428	52.754078	200.0	68.0	145.5142857142857	52.75407712263787	5093	455296
122.48334908485413	90	124.48781	52.24059	200.0	63.0	124.48780487804878	52.2405888134091	5104	460400
123.72447729110718	91	141.69444	51.56917	200.0	62.0	141.69444444444446	51.56916576816704	5101	465501
125.16291117668152	92	146.05714	52.878807	200.0	70.0	146.05714285714285	52.87880637141223	5112	470613
126.4945740699768	93	126.775	47.03801	200.0	62.0	126.775	47.03800989625305	5071	475684
127.878751039505	94	136.5	52.74055	200.0	72.0	136.5	52.74055166068785	5187	480871
129.1797173023224	95	152.75757	50.942646	200.0	71.0	152.75757575757575	50.94264767067772	5041	485912
130.4891562461853	96	135.75676	52.555454	200.0	65.0	135.75675675675674	52.55545611884414	5023	490935
131.75401711463928	97	152.39394	49.74111	200.0	70.0	152.3939393939394	49.74111121685196	5029	495964
133.0491499900818	98	149.11765	51.200737	200.0	68.0	149.11764705882354	51.20073799208617	5070	501034
134.39966535568237	99	148.32353	55.82152	200.0	60.0	148.3235294117647	55.82152261935582	5043	506077
